,layers,layers_config,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
393,[128],"[(128, 'relu')]",0.97,64,0.1,0.001,3.7077,0.093,23
394,[1024],"[(1024, 'relu')]",0.995,64,0.1,0.001,3.718,0.1348,20
395,[1024],"[(1024, 'relu')]",0.99,64,0.1,0.1,3.7271,0.0509,13
396,[128],"[(128, 'relu')]",0.995,64,0.1,0.1,3.7574,0.0405,13
397,[128→64],"[(128, 'relu'), (64, 'relu')]",0.99,512,0.1,0.001,3.7745,0.0345,33
398,[512],"[(512, 'relu')]",0.99,64,0.1,0.1,3.7867,0.0352,13
399,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,64,0.1,0.001,3.7977,0.0306,25
400,[256→64],"[(256, 'relu'), (64, 'relu')]",0.97,64,0.1,0.01,3.8104,0.0316,30
401,[128],"[(128, 'relu')]",0.995,64,0.1,0.01,3.8142,0.0497,12
402,[512→128],"[(512, 'relu'), (128, 'relu')]",0.995,64,0.1,0.1,3.8423,0.0166,24
403,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,64,0.1,0.01,3.8695,0.0138,16
404,[256→64],"[(256, 'relu'), (64, 'relu')]",0.97,256,0.1,0.1,3.8747,0.0129,20
405,[512→128],"[(512, 'relu'), (128, 'relu')]",0.97,64,0.1,0.01,3.8825,0.0097,13
406,[512→128],"[(512, 'relu'), (128, 'relu')]",0.995,64,0.1,0.001,3.8838,0.0193,11
407,[128→64],"[(128, 'relu'), (64, 'relu')]",0.99,256,0.1,0.01,3.8842,0.0136,15
408,[256→64],"[(256, 'relu'), (64, 'relu')]",0.97,256,0.1,0.001,3.8912,0.0136,17
409,[256→64],"[(256, 'relu'), (64, 'relu')]",0.97,512,0.1,0.001,3.903,0.0007,27
410,[256→64],"[(256, 'relu'), (64, 'relu')]",0.995,256,0.1,0.1,3.9038,0.0007,22
411,[128→64],"[(128, 'relu'), (64, 'relu')]",0.97,64,0.1,0.001,3.9042,0.001,31
412,[256→64],"[(256, 'relu'), (64, 'relu')]",0.97,64,0.1,0.001,3.9044,0.0007,29
413,[128→64],"[(128, 'relu'), (64, 'relu')]",0.97,256,0.1,0.1,3.9058,0.0007,14
414,[128→64],"[(128, 'relu'), (64, 'relu')]",0.99,256,0.1,0.1,3.9061,0.0007,21
415,[512→128],"[(512, 'relu'), (128, 'relu')]",0.99,64,0.1,0.001,3.9066,0.0036,14
416,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,64,0.1,0.001,3.9079,0.0007,29
417,[256→64],"[(256, 'relu'), (64, 'relu')]",0.995,256,0.1,0.001,3.9085,0.0007,27
418,[128→64],"[(128, 'relu'), (64, 'relu')]",0.97,64,0.1,0.01,3.9087,0.0009,11
419,[128→64],"[(128, 'relu'), (64, 'relu')]",0.995,64,0.1,0.1,3.9092,0.0007,18
420,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.995,64,0.1,0.01,3.9129,0.0007,11
