,layers,layers_config,dropout,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
924,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.5,0.96,258,0.01,0.2,1.6918,0.5911,100
925,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.1,0.975,258,0.01,0.1,1.6953,0.6281,15
926,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.1,0.95,258,0.01,0.1,1.6965,0.6633,16
927,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.1,0.95,512,0.01,0.15,1.6977,0.6237,23
928,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.1,0.975,512,0.01,0.2,1.6991,0.6221,17
929,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.5,0.975,258,0.01,0.15,1.7017,0.6159,100
930,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.1,0.975,258,0.01,0.15,1.7049,0.6565,14
931,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.5,0.96,258,0.01,0.1,1.7052,0.5971,64
932,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.1,0.96,512,0.01,0.1,1.7144,0.6155,26
933,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.3,0.975,512,0.01,0.1,1.7172,0.6222,55
