,layers,layers_config,dropout,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
105,[256],"[(256, 'silu')]",0.3,0.97,512,0.01,0.001,1.4894,0.6827,22
106,[256],"[(256, 'silu')]",0.5,0.99,258,0.01,0.1,1.4898,0.6533,16
107,[512],"[(512, 'gelu')]",0.1,0.99,258,0.01,0.1,1.4903,0.6853,14
108,[256],"[(256, 'leaky_relu')]",0.1,0.97,512,0.01,0.1,1.4903,0.6684,20
109,[256],"[(256, 'gelu')]",0.5,0.99,512,0.01,0.01,1.4907,0.6564,21
110,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.3,0.97,258,0.01,0.1,1.4935,0.6439,24
111,[512],"[(512, 'gelu')]",0.3,0.97,258,0.01,0.01,1.4941,0.6759,15
112,[256],"[(256, 'gelu')]",0.3,0.99,512,0.01,0.01,1.4945,0.6647,17
113,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.5,0.97,512,0.01,0.1,1.4951,0.5949,57
114,[256],"[(256, 'silu')]",0.5,0.99,258,0.01,0.001,1.4967,0.6767,17
115,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.5,0.97,512,0.01,0.1,1.4974,0.6256,37
116,[256],"[(256, 'gelu')]",0.5,0.97,258,0.01,0.001,1.4974,0.669,18
117,[512],"[(512, 'silu')]",0.3,0.99,258,0.01,0.1,1.4988,0.6838,15
118,[512],"[(512, 'silu')]",0.1,0.97,512,0.01,0.1,1.4989,0.6798,18
119,[256],"[(256, 'gelu')]",0.5,0.99,512,0.01,0.001,1.4992,0.6617,21
120,[512],"[(512, 'leaky_relu')]",0.3,0.99,258,0.01,0.1,1.4997,0.67,15
121,[256],"[(256, 'leaky_relu')]",0.1,0.97,258,0.01,0.01,1.4998,0.6867,18
122,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.3,0.97,512,0.01,0.01,1.5014,0.6447,25
123,[256],"[(256, 'gelu')]",0.3,0.97,258,0.01,0.01,1.5014,0.6896,17
124,[256],"[(256, 'leaky_relu')]",0.3,0.99,512,0.01,0.001,1.5019,0.6614,20
125,[512],"[(512, 'gelu')]",0.1,0.99,512,0.01,0.1,1.5029,0.6874,16
126,[256→64],"[(256, 'gelu'), (64, 'silu')]",0.5,0.97,512,0.01,0.1,1.5038,0.6228,48
127,[512→64],"[(512, 'silu'), (64, 'gelu')]",0.5,0.97,258,0.01,0.1,1.504,0.6403,48
128,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.3,0.97,512,0.01,0.001,1.5047,0.6453,27
129,[512],"[(512, 'leaky_relu')]",0.1,0.97,512,0.01,0.01,1.5051,0.6869,18
130,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.5,0.99,512,0.01,0.1,1.5051,0.5957,38
131,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.5,0.97,258,0.01,0.1,1.506,0.6113,41
132,[256],"[(256, 'leaky_relu')]",0.5,0.97,258,0.01,0.001,1.507,0.6718,19
133,[256],"[(256, 'leaky_relu')]",0.1,0.99,512,0.01,0.1,1.507,0.6717,17
134,[512→64],"[(512, 'silu'), (64, 'gelu')]",0.3,0.97,512,0.01,0.001,1.5075,0.653,25
